	제목+본문
6064	원조  내로남불
6065	내일의 기다림이틀 연속 급등을 보여 줄 수 있을 지
6066	월일 서치 월 일 급등 가능 주식월일 서치 월 일 급등 가능 주식
6067	늙은이들은 이 사회의 미래를 망가뜨렸다이 나라에 진보와 혁신을 이뤄나갈 희망의 존재인  젊은이들이대 극보수 늙은이들의 악성 선동질로 병들어진취적인 사고가 아닌 변화를 두려워하는 사상을 가지게 되었다진보와 혁신의 미국과 보수적인 삶만 고집해온 일본의 년동안 벌어진 차이를 보라변화를 두려워하는 민족에게 발전이란 없다
6068	이해할수가없네만원짜리도안돼는주식을 왜사요차라리 차에광택이나내고놀아요
6069	다음주부터 달립니다 카카오증권가 찌라시공개다누림호 발사 성공 세계대 우주강국 도약세계최고의 원전산업 전폭적 지원대통령의 부재에도 믿고 갈수있는든든한 역대급 어벤져스 장차관참모진이슬람을 뛰어넘는 한동훈호의 공정한 법치국가의 완성반도체 인력 육성을 위한 국가교육의 대전환시간에서 시간 근로시간 확대로일하고싶은 사람은 얼마든지 일할수있는 여건 마련구중궁궐 청와대를 국민품에 안겨줌과 관광자원화폭등하던 부동산을 안정화로 전환부실덩어리 공기업을 경쟁력있는 기업으로 탈바꿈 추진대기업의 법인세 감면을 통한 낙수효과로 경제 전반적인 선순환 강화나토회의에 초청받은 세계적 영향력국격을 뛰어넘는 김건희여사를 필두로한 뷰티산업 특히 성형산업의 부흥예고앞으로 남은 년이 너무 기대되지요이 모든게 두달도 안된 윤정부의 위대한 업적입니다 국민이 가르쳐 키우고 국민이 당선시킨 윤대통령을 지지해주신 여러분들 감사합니다
6070	카카오 목표주가 보니참담하네요 궁금하신분들은 알아서 네이버에  치고 보세요
6071	카카오 끝났다고 몇번을 말하니장투벌레들 물려서 후회한다
6072	제발제발 카톡 그만 썼으면ㅠㅜㅜ 제발제대로 된 메신저 앱 쓰고 싶습니다심지어 ㅆㄹㄱ 텔레그램이라도 좋으니문제 그 자체인 카톡은 망해주세요 ㅠ
6073	나라가 이지경인데멍청하게도 대세를 못읽고매수버튼 누른 날 탓해야지
6074	내로불
6075	애국자
6076	공매도 당장 금지해야함 뉴스김동욱 기자입니다기자월 한국 증시 성적은 세계 꼴찌였습니다코스닥지수는 일 으로 지난달 말보다  하락했고 코스피는 으로  내렸습니다전 세계 대표 주가지수 개 가운데 코스닥과 코스피 하락률은 각각 위와 위였습니다이 기간 수익률 위인 러시아 증시가  상승했고 중국 등 아시아 주변국 증시가 상대적으로 선방한 것과 비교하면 더 큰 낙폭을 보인 겁니다
6077	위험에 대비하세요오늘  시 뉴스에 년 월 외환위기 처음물가상승율  넘어 선다고 한다전기요금도 인상된다 유동성을 더욱 쥐는 금리정책을 펼칠 것으로 보아 경기침체 유도는 당연하며 지속적인 큰폭의 주가 상승은 어렵다주가 상승렐리가 나오면 돈이 많이 풀여 물가상승에 영향을 주기 때문입니다유가도 상승중에 있고 환율도 엔달러 대비강세라서 수출에 영향을 주게되 몇개월째무역적자가 나오고 있습니다여러가지 퍼팩트스톰이 몰여오고 있습니다경제위기인지 공황인지 인플레이션 및 물가상승율 진정여부에 달여 있습니다코로나 전 년 종합지수 포인트 전후도각오해야 합니다 유비무환 조심하세요
6078	카카오  이제 다시 슬슬 모을때가 됐다 미래성장주희망헌터의 주식 이야기시장에 흔들리기보단 기업의 가치를 믿고 투자하고자 하는 주린이 입니다카카오  이제 다시 슬슬 모을때가 됐다 미래성장주블러그 보시고 많은 조언 부탁드려요감사합니다
6079	주가 폭락 지금이 매수 타이밍원 달러 환율 천원대가 뉴노멀 그러니까 새로운 기준이 될 거란 평가가 나왔는데요 단기적으로는 추가로 천원까지 오른다는 전망도 나왔습니다고물가와 미국의 고강도 긴축정책 또 우크라이나 전쟁으로 환율 변동성이 앞으로 당분간 커질 걸로 보이고요지금도 외국인 투자자들이 국내 주식을 팔아치우는 상황이잖아요미 연준이 월에도 기준금리를  포인트 올리는 자이언트스텝 간다는 뜻 내비쳤습니다이렇게 되면 원화 약세 달러 강세로 외국인 자금이 더 빠져나갈 수밖에 없습니다또 강력한 심리적 저항선인 천원 선이 뚫렸기 때문에 천원까지 올라갈 수 있다는 전망이 많습니다배움은 끝이 없습니다 오셔서 많이 배우시고 다 같이 벌었으면 합니다
6080	손실중인건 계속 기다리라고만 하지 않나요손실이 커지고 기간이 지나 더 손쓸 수 없는 상황이 오기전에 도움드리겠습니다
6081	총선때 선택잘해라니네들 더듬굿당 쩝쩝이 정부에서규제 이야기 꺼내고다음날 월일  월일 당했다전쟁시작하거나 자이언트 스탭 발표해도이상 뜬게 흔하지 않다반면에 윤정부에서 규제푼다 이말 번하고 이번에  올랐다대깨 아닌이상 선택 어려움 없지
6082	마셜플랜언급은 사실상분쟁종결예고한셈앞으로의 역동적인 국제적 경제환경에대처하는 가장 강하고 안정적인방법은 우리들의 경제를 그 근간에서부터 튼튼하게할수있도록 함께경제라는 수레를 같이끄는마인드를장착해야세계정세와경제의 껍데기현상으로 자신네들의음흉한사적이익을채우려 각종 혼란과 위협을 생산해내는쥐새끼같은 무리들을 강력하게성토하고 건강한 경제관점을 마인드하는 지혜있는사람들께 힘실어줘야한다하늘은  스스로돕는자를  돕는다
6083	문명은 코로나 이전으로 돌아간다적정가 만원
6084	해피 프라이 데이 뉴욕전 업종 골고루 많이 올랐다 인제 불안감 많이 사그러 들겠네 월 소비자 물가지수 조금 완화 될 듯월발표
6085	이거 까지 내려감니들 다 한강갈때까지 뺌
6086	이거 까지 내려감왜 내려가야하나 천하에 단타 벌거지시키야 니애비 애미 오늘 시에 지옥가고 시에 니마누라 와 에새키 불지옥니놈은시분에 재가돼는 날이다아가빠리 막벌리지 말고 쳐닫고 눈감아라
6087	시초가 종가  원 외국인 기관쌍클이매수
6088	뭔 주가가 많이 내렸나 무지하게 오른것은 생각안하나더 내려와야
6089	오늘도 오르나요냉무
6090	러시아 디폴트영향 겠지
6091	니기미내려갈때는 아주 급행 으로 쳐내리더만오를때는 개미 똥구녕 만큼도 안되니
6092	한국공매 또 지랄이네
6093	장시작 전에 살짝 오르더만역시나 장난질 네이버는 분 지나니 파란불
6094	개카오 답구나에라이
6095	주도주 천보 앨엔에프 차전지 라고나때문에 돈번사람한턱쏴라 ㅋㅋㅋ이제부터 카카오 하락할때마다 차전지 날아간다
6096	지옥가즈아고점에 물린개미들 안녕
6097	만원가야쥐ㅋㅋ이정도 가능성을가지고 복구는 어렵지않다
6098	천보 앨엔에프 차전지 아직도안삿냐오늘같은날에도 먼저치고올라간다 주도주다
6099	이 만파랭이네
6100	한국 신한역시 뜨면 내리막공매쉐끼들
6101	일일천하가 뭐냐 반토막 카카오 뭐 하는 짓이야올리면서 개미들 물량 털어가라고 년 동안 쳐 팼으면 됐지 세계 꼴찌가 뭐냐 금융수준이 세계 꼴찌라는 거자너 금융업에 종사하는 것들 잣물고 반성해라
6102	설마 앵두말또 믿는 흑우는 없겠죠특히 아줌마들 정신차리세요ㅠㅠ유튜버에 사기꾼들 넘 많아서 가려서 참고만 하시고 종교처럼 맹신하지 마세요주가가 얼마갈지 오를지 내릴지 워런버핏도 모른다는데 일개 유튜버가 알겠어요 특히 유대사기금융 ㅋ
6103	지수음봉가면 나락이다알겟냐
6104	장 시작과 동시에 원 넘었을때 대량으로 손절한 사람이 승리자원 이었나 그걸 개미들이 받은건 아니겠지
6105	조용필이 부릅니다데드켓 바운스 바운스 바운스
6106	오늘 무조건오른다 한표초반에올라가고 그로다가 내려가다가 공포조성하고 상가자
6107	민주당은  운동권 출신들을 모두 퇴출시켜야 된다민주당은  운동권 출신들을 모두 퇴출시켜야 된다년대에 위대한 김일성 수령님만세 김일성 아버지 사랑 합니다라고 외치며김일성에 충성맹세 혈서쓰면서 대한민국 공산화 운동하고선민주화 운동 했다고 구라치고 다니는 이런 민주당 빨갱이  운동권 놈들 다 퇴출시켜야나라가 바로 선다국민힘 하태경 의원도년대에 서울대 물리학과 재학시절 김일성 수령님 만세 외치고 다녔다지금은 사상을 완전 바꿔서 과거를 반성하고 북한 주민 인권에도 신경을 많이 쓰고 있다문제는 사상을 바꾸지 않은 민주당내  운동권 세력들이다 탈북자를 두눈 가리고 결박해서 북한으로 다시 보낸다가면 총살인데김정은 좋아 하는 짓거리만 한다왜 김일성 수령님의 손자니깐 우리나라 공무원이 북한에 사살당하고 화장처리 됐는데도 월북자 였다고 조쟉해서 북한편을 든다 민주당  빨갱이들은 북한의 테러 행위를 부정하고 무조건 북한편만 든다천안함 추모제에도 참석안한다김현희 칼기 폭파사건 전두환의자작극이다천안함 테러  이명박의자작극 연평도 포격  왜 북한을 자극하나 북한을 자극한 이명박탓이다 북한의 지뢰설치 하사관 명 다리절단 왜 북한을 자극하나 북한을 자극한 박근혜탓이다어리석은 선동된 국민들은 민주당이 년대에 민주화 운동한줄 알고 있다팩트이야기 한다 민주당 운동권들은 년대에 대한민국 공산화 운동했다지금도 이 운동권들이 만든 전교조의 교사들이우리 아이들에게 김일성은 민족영웅 김일성은 한반도에서 가장 위대한 사람이라고 가르치고 있다 전교조 교사의 김일성은 민족영웅 충격적인 교육영상
6108	카카오자 붙은 기업은다 없어져야할 것들 세대와 함께 세상에서 없어져주면 좋겠다
6109	홧팅차주예상카카오주주로써  금리 부분에 대한 향후 경기침체로 인한공격적인 행보가 둔화한다 라는 뉴스가성장주에 대한 과도한 주가하락어떤 호끼가위에서 팔아먹은 내부자 기가지금 산답니다참 양짓은 다하네요그리 살지마라 기야우선 차주는 양주봉인건 확실자 이쯤에서 랠리로 돌려봅시다베어마켓 랠리와 함께만닷컴홧팅
6110	네이버 또 갑니다이거도 힘내세요
6111	손실 큰사람들 적당히 분할 손절해 이상인 사람들 또 또 좀 오르니깐 본전까지 온다고 생각하는놈없재코스피 마지막 기술적 반등이니깐 지금 올라주는거 감사합니다 하고조금씩 손절하면서 비중이라도 최소한 줄여놔라분명히 얘기하는데 코스피 밑까지 꼴아박는다외인들 계속 파는거 보이재내 지난글 봐라계속 얘기해줬다 만 깨진다고
6112	목요일에 에 매수 오늘 매도해야겠다욕심을 버리고 다음에 또 층올때 매수하려합니다모두 성투하세요
6113	신용미수 다 털렸는데도 애쓴는 댓글부대들애쓴다 애써 털어먹을거 이제 없어
6114	 테슬라 때문에 공유차 붕괴 우버 타다 카카오 모빌리티 가치 감소플랫폼이 가져갈줄 알았으나자율주행 기술을 가진자가 가져감일론머스크 꺼였음 ㅋㅋㅋ이제 주식은 호구 상장 모집할듯호구가 카카오페이처럼 받아줘야 익절하지
6115	원 위로 개미들 매수세 강하네음봉 나올 확률 있다
6116	팍팍좀올려봐라존나게떡치듯팍팍올려봐ㅋㅋㅋ나락갈땐거시기도힘빠져서흐물거리드만ㅋㅋㅋ
6117	지금 담아라 무조건만간다월에 무조건 만간다  잡우세요
6118	개미만원 대 매수 원대 매도 했다는 댓글 보며 답답했다 최소 계산법 알고 투자 햐야 건강 은 지킨다 본인도 만중반 물린 만큼 두 깡통 원 기다리다 천원 더 주고 매수 물 태움 만원 중반 대 가격대 낮춤 네이버  ㅗㅑㅇ하고 카카오 아직  안  반등시 제 대로 탈출
6119	상황이 하나라도 좋아진게 있는가그대로다 말로는 경기침체 가능성 낮다는둥하고는있지만 실제 현상황은 달라진게없다고로 이 상승은 기술적 반등일뿐 오래 기다릴 자신없으면 지금내릴것
6120	좀 가자뭐하냐
6121	 정도는 오늘 매도하렴곧 다시 떨어지면 추매하고
6122	기술적 반등 구간 비중 축소바닥 찍은건 아닌거 같음기술 적 반등으로 보임비중 축소 후 하락 시 재매수를 통한 주식수를 늘려가는 전략
6123	설마 앵두말넘은 고수 할망 굼요일 원 매수 고점 에서 두 깡통 반등 기대나이 가 뭔죄
6124	빨리 올라가자 빨리 빨리 올라가자오늘 같은 장애를 빨리 빨리 올라가 자 상한가 오라이
6125	카카오는 절대 반등 못해지금은 꼬시기고이제 곧 패대기다
6126	주식 최고 고수 유영두 회장유대 금융 자본 생리를 꿰뚫어보는 최고의 주식 전문가 나는 눈물 흘리는 쥬식 황제드아
6127	바닥 다졌으니 조만간폭등 한번 할거같네요
6128	평단가원 원 매도했어요ㅠ
6129	나갑니다오늘 떨고 나갑니다카카오 정말 쓰레기 같네요
6130	일단 까지는 가겠고이후는 바로갈지 쉬어갈지 모르겠다
6131	카카오모빌리티 매각얘기는 계속나오는데매각을 하게되면 골목상권 침해 악재 털고 나가는건가아니면 지속적인 악재인건가요
6132	개카오의 앞길막는 것 중 하나는 지들 말로 안한다라 못박아놓고바로 말바꿔 계열사 상장한다했음개카오 발목잡는 많은 게개카오가 저지른거고그 중 대표가 이 계열사 상장한다는 것임증권사가 언제든 목표가 하향시키기딱 좋은 게 저 것임 계열사상장 이슈우마무스메 흥행했다근데 개카오는 상장한다해주가가 하락하고 있다오늘 또 그 내용의 기사가 나왔음개카오 주가가 언제든 하락하면또 저 이야기를 증권사들은 꺼낼 것임날은 달라 다음날이야그러더라도 제목 내용은또 붙여넣기식 기사일 것임또 날은 달라 며칠이 지났어또 붙여넣기식 기사일 것임새로운 게 아무 것도 없음날짜가 다음날 이후란그 우기기로 마치새 것인양 속이기인 것임원 오른 원또 언제든 주 신저가 갈아치우면기사 제목도 애널리스트 내용도또 나올 게 뻔함 단골임오딘의 라이온하트 스튜디오가올해안에 상장될거라 예측된다계열사 상장이 개카오의주가 하락의 원인이다이건 뭐 잘해도 신뢰도 회복이될까 말까할 판에지들 혼자 내부문제 기사 나신뢰도 깎고 뭐 또 저 또무덤파기 선수임저 계열사 상장을 안한다라다시 또 말바꾸는 게 아닌 한개카오의 주가는 장난감이고언제든 주 신저가 경신은 단골임주식을 가진 사람에겐더 지긋지긋하게 볼 이야기임개카오때문에 주식 가진 이들이더 꼭두각시 취급받음카카오 계열사 상장이 주가 하락 원인신작 흥행 소용없나카카오게임즈 앞날은 이번주 인공우마무스메 출시에도 주가 급등락 반복 만원 무너져하반기 신작 라인업 기대감 크지만 자회사 상장은 악재지난주월 일 코스피지수는 전주보다 포인트 내린 으로 마감했다 한 주 동안 개인은 조억원 외국인은 조억원을 순매도했고 기관은 조억원 순매수했다지난주 가장 이슈가 된 종목은 카카오게임즈다 지난 일 출시된 신작 우마무스메  프리티더비가 유저들에겐 좋은 반응을 얻고 있지만 주가는 횡보를 거듭하고 있다 출시 첫날 급락한 주가는 이튿날 우마무스메가 애플 앱스토어 인기순위매출 위에 오르자 반등했다 이후 구글 플레이스토어 매출 순위 부진에 일 연속 하락했으나 구글 매출 순위 위 등극 소식에 일엔 다시 상승 마감했다일 코스닥시장에서 카카오게임즈는 전일보다 원 오른 만원에 거래를 마쳤다 지난해 월 이후 년 개월 만에 최저 수준을 맴돌고 있다시장에서는 우마무스메는 장기적으로 좋은 성과를 낼 것으로 보고 있다 만약 우마무스메가 국내 매출 순위 위권을 유지할 경우 카카오게임즈는 분기당 억원 이상의 추가 매출처를 확보할 수 있게 된다 기존 매출의  수준을 차지했던 오딘 의존도를 줄여 매출 다변화도 가능할 것으로 보인다임희석 미래에셋증권 연구원은 우마무스메는 비주류 서브컬처 장르에 대한 우려를 불식시키며 초기 흥행에 성공 시장 기대치였던 초기 하루 매출 억원대 초반에는 충족할 것이라고 예상했다신작 출시에도 카카오게임즈에 대한 증권가 전망은 엇갈린다 하반기 신작 라인업 기대감은 여전히 유효하지만 우마무스메 마케팅 증가 등 일회성 비용이 발생해 실적은 뒷걸음질 칠 수 있어서다 특히 오딘 개발사이자 자회사인 라이온하트스튜디오의 기업공개 가능성이 제기되면서 카카오게임즈 기업가치가 훼손되는 모회사 디스카운트 우려도 커지고 있다 현대차증권은 카카오게임즈 목표주가를기존보다  내린 만원으로 제시했다반면 올해 하반기 대형 신작 출시에 힘입어 주가가 반등할 거라는 전망도 있다 오동환 삼성증권 연구원은 대만에 선보인 오딘 발할라 라이징에 이어 우마무스메가 흥행하면서 하반기까지 지속적인 이익 증가가 예상된다며 에버소울 가디스오더 등 하반기 신작들은 국내가 아닌 해외 시장을 타깃으로 하는 만큼 흥행에 성공한다면 주가 상승 여력이 높다고 예상했다 자회사 상장은 악재주가 하락할 때마다지겹도록 따라다닐 이야기아무리 급등한다해도언제든 주가하락할 수 있고그 하락한 이유로 또 볼 개카오판 코미디개카오  개카오 계열사 주가 하락 주범개카오판 코미디  
6133	감흥없다냉무
6134	만가면인정한다근데갈까나ㅋㅋㅋ올해는글렀다ㅋㅋㅋ
6135	삭제된 게시물의 답글친중의 대표주자 카카오 풀매수합니다많이 사라
6136	지수 만큼도 못 올라가고이게 뭐냐어이구퍼 카카오 세상 천지에 너같이 빠진 플랫폼이 없어 개한민국 진짜 수준 떨어져서
6137	이제 카카오는 년 노력해도만원 가기 어렵다
6138	옛말에 이런말이 있었어운명을 피할 수 없다라면그대여 그 운명에당당하게 맞서라소년의 여름에 찾아냈다여기 영원히 부숴지지않는다이아몬드오카오 오카오
6139	연개금 불좀 질라벼려라년 동안 주식못하게
6140	지수만큼도 못 오르는  카카오 범수야 주가부양 공부 좀 해라주가 부양 할 줄 모르냐 카카오 주주들의 원성을 그냥 넘기지 마라
6141	조만간한방에맛가겠구만ㅋㅋㅋ다시만대로복귀ㅋㅋㅋ
6142	코스피지수만큼은 올라가자오늘 같은 장애는 빨리 빨리 올라가자 뜸들이지 말고 빨리 빨리 올라가자
6143	고수님들만원 언제 오나요
6144	나쁜 기업이구나참 더러운 기업
6145	명불허전 개잡주 카카오ㅋㅋㅋㅋ이번에 탈출하면 다신 보지 말자 씨부레 잡주야
6146	개미개 많은 주식은 사면안된다카카오와 네이버가 이를 증명 중
6147	보합가즈아할수잇다
6148	퍼 카카오 범수랑 대표는 뭐라도 해라앞으로 카카오는 자회사 상장 더 이상 없다 주주들 돈으로 임원만 배불리는 상장은 더 이상 용서하지 않는다
6149	이놈때문에 카카오 가 안가네
6150	마지막 힘을 다해서 올라가자카카오 마지막 힘을 다해서 종가까지 힘을 내서 올라가자 무조건 올라가자
6151	개잡주한심하다
6152	현대로템 좋아 아주좋아일단 와보세요 오를 종목을 잡으세요
6153	주도주를 잘못고른자들이여 주도주는 차전지다천보 앨엔에프 에코프로비엠
6154	종가까지 힘을 내서 올라가자마지막 힘을 다해서 카카오 올라가자
6155	나스닥 개 폭등 해서 보합이냐 진짜쌩양아치 색히들그 중에 가장 쌩 양아치는 누구냐면기업 대표들이야 본인 기업 주가 부양의지가 세계 꼴찌수준이야그들 자신의 주머니만 챙기는 것들이라는 거지 주주에게 힘을 실어주는 풍토를 만들자 그래야 꼴찌 탈출 한다
6156	어이가 없다여기 이제 망했나보다
6157	장난 똥 때리나이게 시롸야
6158	셀트리온제약보다 더잡주에휴
6159	니기미상폐하자
6160	일 연속 급등윤통만 믿고 풀매수 진격
6161	장대 양봉 나왔으면 계속 올라간다카카오는 앞으로 계속 올라간다 조금씩이라도 올라간다
6162	시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ내일 만원 찍을듯 ㄷㄷㄷ
6163	폭등원 이나 올랐네
6164	카카오 목표주가카카오의 전일가는 원 으로 마감됐으며 현재 년 월 일 시 분 초 기준으로카카오 의 주가는 전일대비  를 기록하고 있으며원 상승한 원으로 거래되었습니다증권사 의견은 매수 로 는 이며 개의 증권사 애널리스트들의 평균 목표 주가를 계산하면 목표 주가는 원 입니다신규 진입하시거나 기존 주주분들은 참고하시길 바랍니다최근 해당 기업 사업 내용입니다기존 사업 순항 신사업도 성과국내 시장 점유율 위 메신저 카카오톡을 중심으로 커머스 모빌리티 페이 게임 뮤직 콘텐츠 등 다양한 영역에서 수익을 창출하고 있음 매출은 플랫폼 부문  콘텐츠 부문 로 구성됐음 경쟁사 네이버에 비해 해외 사업 실적이 부진하다는 평가를 받아왔으나  를 핵심 키워드를 내세워 해외 웹툰 시장 등에서 활약 중임 모바일 시대 이후를 대비하는   전략도 추진 중임년 월 전년동기 대비 연결기준 매출액은  증가 영업이익은  증가 당기순이익은  증가 광고 커머스 등 핵심사업이 견조한 성장세를 이어갔고 미래 성장을 위해 투자해왔던 테크핀 모빌리티 콘텐츠 등의 사업에서도 성과가 나오고 있음 년에는 콘텐츠 블록체인을 중심으로 해외 진출을 본격화하고  클라우드 사업 확대 등 성장 동력 확보를 위한 투자를 이어갈 계획저평가 우량주는 보통 이 배 미만 이 배 미만 는 이상 꾸준히 성장하면서 실적 컨센서스는 우상향 부채비율이 이하인지  업종과 비교하면서 판단합니다카카오의 경우 은 이며 은  는  실적 컨센서스는 우상향 부채비율은  입니다다른 저평가우량주를 찾으시는 분들에게는 주식스터디 유튜브채널을 추천 드립니다주식으로 돈 벌기 어려운 이유 인간의 본능을 이겨내야 하기 때문공포에 매수 환희에 매도란 걸 알면서도 폭락장이 오면 불안하고 스트레스를 끊어버리기 위해 자연스레 매도버튼에 손이 올라갑니다이렇듯 머리로는 듣고 배우며 알고 있지만 인간의 본성과 반대되는 액션을 취하기는 정말 어렵습니다 그렇기 때문에 주식투자로 성공한 투자자가 다수가 아닌 소수일지도 모르겠습니다주식시장과 내가 산 종목이 얼마나 오르고 빠질지 언제 어떻게 움직일지 예측하는 것은 무의미한 신의 영역이며 이럴때 우리에게 필요한 것은 본인만의 원리원칙을 만드는 것입니다향후 시장이 회복할 때까지 함께할 수 있는 동반자 같은 종목을 고르기 위해서라도 지금의 하락장을 외면하지 않고 맞서는 투자자가 되길 바랍니다참고로 저는 주식스터디 유튜브와 카페를 통해서 저평가우량주라던지 종목들의 리포트들 참고하고 있습니다 정보 필요하신 분들은 참고하시면 도움되실겁니다
6165	오늘 폭등인가요폭등 축하드립니다 주주님들
6166	옛날옛날부터 매일매일  로 오라고했다
6167	카카오 적절한 매입시점종토방의 한페이지의  이상이 범수욕으로 가득찰 때 풀매수하면 된다여기서 범수 찬양하는거 하나라도 보이면 절대 사지마라
6168	내 평단  와서 탈출하게 해주면내가 남궁훈 머리 아주 빽빽하게 심어준다먹물 뿌린것마냥 아주 빈틈없이
6169	만원에도 안사던 사람들이만원에도 사겠다고 난리네ㅋ
6170	분기 발표때까지 꾹가보자카카오셀트리온생건위기 속 더 돋보이는 의 힘김금이 기자입력   수정  현금 창출 능력 뛰어나고보유현금 많은 기업 주목연간 영업익 전망 줄하향 속화학유통음식료는 상향증시엔 선반영돼 반등 예상
6171	본전되려면많이 떻어져 물타기 했것만토끼 머리에 뿔나야 하는겨
6172	시간외 얼마인가요물타고 물타고지랄하고 있네요
6173	저도 이제 카카오 주주싸긴 싸네요
6174	개미참열심히 산다 카카오 는 안올라끝났어
6175	이건 제대로 한방온다이번주 절벽 한방 제대로 쳐바를듯
6176	경악문재인이 존경하는 명경악문재인이 존경하는 명공식적으로 에 나와서 문재인이 존경하고 찬양한 사람이 명이 있다 신영복 김원봉 윤이상신영복  김일성의 지령을 받아서 대한민국을 공산화 하려던 간첩 빨 갱이 김원봉  김일성과 함께 전쟁 일으킨 전쟁범죄자진성 빨 갱이 윤이상  김일성 찬양 음악가빨 갱이문재인이 존경하는 사람은 김일성과같은편 측근
6177	윤재앙 덕분에 나라 거덜나는중윤재앙 덕분에 국내 주식 수익 하락률 국가중 등 기록
6178	짜증난다힘들다  뭐 이런거 다 있지
6179	윤재앙 덕분에 나라 거덜나는중문재인정부년 국가빛 조원으로 늘어남문재인정부년 부동산 최고 급등 물가최고급등문재인정부년 꿈민심 눈물까지등처먹음문재인정부년 순수한촛불민심 까지등처먹음문재인정부년거짓을진실로교묘하게 포장해서 민심을등처먹음 교활한악마 족들검수완박수도권시민  반대함 민심이천심  민주당 지지율 급락무능정권  이멜다  죄와벌받는다
6180	지친다만 카카오이젠 무감각
6181	경제위기 심각 모르는 흑우개미들지금 인플레 대처 못 하면 미국 경제도 최대 년까지도 고통속에 살아야 한다고 보는데다음달 이면 괜찮겠지 이 ㅈㄹ 하는 망상꾼들
6182	덕유산에서 내려 왔습니다올해는 증시하락으로주식 접어라 계좌 다녹는다은행 예금다
6183	장장
6184	공매도 전면 확대 시행해야어짜피 공매제도를 해야 한다면 이런 폭락장에서 전면 확대시행해야 한다중소형주에서 작전세략들에 의하여 테마주다 뭐다 해서 지나치게 이상급등하는 현상을 막고 그런곳에 잘못 빠져 엄청 손해를 보는 일을 막을 수 있으리라 여겨지며 대형주들에 집중되는 것을 분산하는 기능을 하기 때문이다대형주보다 정작 중소형주에 공매도가 더 필요해 보이기도 한다어떤분은 지수가 폭락해 있는 현 싯점에 공매도를 중지시켜야 한다고 하지만 공매도란 과도하게 급등한 종목이 하락할 것을 예상하고 공매도를 쳐서 하락하면 되사서 값는 방식으로 사실상 지수가 천 이상 갔을 때 중지를 시켜야 하는 제도로 보인다지수가 높을 때는 내버려두다가 지수가 폭락하니 공매도를 한시적으로 중지해야 한다니 내 아둔한 머리로는 이해 할수가 없는 일이다공매도 전면 확대 시행해야 한다고 생각하며과거 지수 폭락때 제한하고 지수가 폭등한 뒤에 공매도를 허용하자 그 부작용이 만만치 않아 보입니다 공매도 꾼들이 그동안 보아왔던 헛점들을 이때다 하고 공략한 결과 개미투자자들의 피가 낭자한 결과로 이어지는 내가 잘못 생각하는 것인가
6185	편하다주식없이 장을 보니 맴은 편하다개월 뒤에나 매매해볼거나물가는 오르고 주가는 떨어지고
6186	바둑  장기를 두어도 적어두 둬수는 앞을 보고하는 데그냥 단순하게 수를 두듯 하면 그게 좋아보일지는 몰라도 부작용을 낳게 된다고 본다정치에도 단수가 있어야 하기에 윤석열 대통령 깨서는 스스로 단수가 낮다고 여기면 단수가 높은 사람들을 모아 도출해 내면 그게 리더고 최고단수지
6187	성탄절이 토요일 일요일일 경우 월요일을 대체공휴일로 지정해주세요성탄절이 토요일 일요일일 경우 월요일을 대체공휴일로 지정해주세요
6188	김범수나 권도형이나카카오나 루나코인이나 코인과 주식차이일뿐 하는 짓거리는 똑같은데 다른게 뭐냐
6189	나는 나의 무능력을 인정하며 어제부로손실 확정 하였습니다이제 남았네요다 정리한후심신을 추스리고냉엄한 주식시장을 복기하면서다시컴백할때까지 세월을 아 보겠습니다코수피  이하까지안오면그냥 주식 접겠습니다
6190	내가 카카오에서 필요한 것카카오톡 뿐카카오뱅크 카카오페이 카카오게임은 있으나 없으나 관심없음버블 증거 카카오뱅크가 하나금융보다 시총 높은 것 카카오페이가 삼성카드보다 시총 높은 것 카카오게임즈때문에 글카 업그레이드한다는 얘기 못들어봤음
6191	모빌리티 매각하면 카카오 존재이유는오픈체팅방에서 광고수익 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
6192	내가 카카오에서 필요한 것내 주위엔 하나은행 보다 카카오뱅크 쓰는 사람이 훨힌 많고 삼카 쓰는 사람보단 카페 쓰는 사람이 훨씬 많음
6193	빨리 빨리 올라가자오늘부터는 주식을 파는 게 아니고 주식을 사는 거다 오늘부터는 계속 올라간다 팔문 손해다 오늘부터는 무조건 추가 매수 다 추가 매수 상한가로 오라
6194	어제 저녁에 뮤지컬 보러갔는데 이 가사에서 여러분이 생각나더라구요지금 이 순간 지금 여기 말로는 뭐라 할 수 없는 이 순간참아온 나날 힘겹던 날다 사라져 간다 연기처럼 멀리지금 이 순간 마법처럼날 묶어왔던 오카오를 벗어 던진다 ㅋㅋㅋ
6195	공매도 금지는 결사 반대무슨 애들 놀이터도 아니고뭐 툭하면 공매 금지야 ㄹㅇ 금융 후진국 흑우들 다운 발상
6196	퍼 카카오 범수랑 대표 나와서 뭐라도 해라이 가격에도 매수세가 이 따구냐
6197	캐치프레즈걸어놓고 코스피공정따위나한것캐츠피레이즈 장황하게걸어놓고겨우 한다는짓이 코스피공정질이나한것오늘의시장에서 자알들 느껴들보라 그러니 에서 뭐라고들했겠어 제들끼리 뒤에서는 얼마나 키득키득거렸을까
6198	간다
